profile_name,config_hash,strategy,panel_size,mean_expertise,expertise_heterogeneity,bias_std,n_items,prevalence_a,n_experts,n,eie_mean,eie_std,eie_ci95,mv_mean,mv_std,mv_ci95
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.62,0.08,0.1,300,0.5,96,91,0.06696622604928777,0.03366712840080177,0.006917377078911947,0.0721703316272143,0.024399931988278237,0.0050133034291902
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.62,0.08,0.2,300,0.5,96,92,0.0691044758149289,0.03783907966485399,0.007732193654280483,0.07451966309391855,0.02684420714829671,0.00548545604186675
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.62,0.08,0.35,300,0.5,96,91,0.06855600826502808,0.038737652225746,0.007959186313937494,0.08239524598984364,0.03610456622715517,0.007418182385220413
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.62,0.08,0.5,300,0.5,96,83,0.06864505695484045,0.04015809911630879,0.008639531102904774,0.08699626564721737,0.04077931352867855,0.008773177897831419
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.68,0.08,0.1,300,0.5,96,90,0.03539796431647325,0.021270824715703324,0.004394597915705968,0.04047601726990928,0.018084334533199253,0.00373626222343204
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.68,0.08,0.2,300,0.5,96,90,0.035475825804874725,0.022067914447132846,0.004559278360361448,0.043855797485486486,0.020500227958423028,0.0042353909762169835
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.68,0.08,0.35,300,0.5,96,84,0.03582590322435784,0.021651911219275916,0.004630337698130456,0.049468152884662275,0.026327925512032814,0.005630319872335638
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.68,0.08,0.5,300,0.5,96,72,0.037054942908128656,0.02143259629004696,0.004950677163874443,0.05423809700552378,0.027466918964541183,0.006344534588321963
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.74,0.08,0.1,300,0.5,96,74,0.020886595244269036,0.012391967999698064,0.002823452557933584,0.024452841708619527,0.0148231899634547,0.003377395230529272
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.74,0.08,0.2,300,0.5,96,75,0.01992274454226477,0.013007122720484241,0.002943788995189197,0.026444644598338993,0.01628243327413485,0.0036850615556824787
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.74,0.08,0.35,300,0.5,96,65,0.020669651832204816,0.011559567880925714,0.002810224350790057,0.02881518414585411,0.017287991980155668,0.004202850533804386
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.74,0.08,0.5,300,0.5,96,58,0.021101164989861733,0.011717171468064823,0.0030155383778075282,0.030775748936539372,0.018917380497287698,0.0048685885542119065
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.8,0.08,0.1,300,0.5,96,62,0.00786735035309721,0.006497528454786058,0.0016173664003325543,0.008639686186664327,0.008151840107696312,0.002029158068766849
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.8,0.08,0.2,300,0.5,96,56,0.009273604538430763,0.00734548622774499,0.0019239004962441808,0.010390631770539097,0.009300214581576266,0.002435875161141629
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.8,0.08,0.35,300,0.5,96,59,0.00954046191914439,0.007390196037821254,0.001885758285233547,0.01208463058571725,0.011317589152457168,0.0028879122291060972
manuscript_contrast,fda4da941cf0,expertise_threshold,3,0.8,0.08,0.5,300,0.5,96,59,0.010443217485787176,0.0070876371606501,0.0018085542562096201,0.01595961105692529,0.016894758347740714,0.004311039973530032
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.62,0.08,0.1,300,0.5,96,96,0.07751702445295337,0.022824526319968886,0.004565856186879626,0.07346132686257262,0.015927556784569908,0.0031861749359977164
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.62,0.08,0.2,300,0.5,96,96,0.0772742461545856,0.0227264733191917,0.004546241501607978,0.07664793898914084,0.01752977103836998,0.0035066845387323664
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.62,0.08,0.35,300,0.5,96,96,0.07610097739512754,0.024411305205038987,0.004883278072794896,0.08337993869424727,0.020537735619490148,0.004108402773761264
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.62,0.08,0.5,300,0.5,96,96,0.07595399884580752,0.022399875928577718,0.0044809084166778,0.08911465016493576,0.023292387438669508,0.0046594479028028045
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.68,0.08,0.1,300,0.5,96,96,0.041426225285212774,0.01345245771820407,0.0026910520043371636,0.04575838770917202,0.011212969669574739,0.0022430610923272467
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.68,0.08,0.2,300,0.5,96,96,0.04084856633355944,0.012395698294657479,0.0024796560925708718,0.048153321516872495,0.011583893297445597,0.002317261271443003
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.68,0.08,0.35,300,0.5,96,96,0.04122105647604205,0.012442603374547887,0.0024890390627237435,0.053075871402954576,0.014769020942696685,0.0029544195003236473
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.68,0.08,0.5,300,0.5,96,96,0.041808069789847885,0.012556627726192907,0.0025118486835726053,0.0582418313948116,0.016975376198070453,0.0033957824732931746
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.74,0.08,0.1,300,0.5,96,96,0.021820087944509976,0.006965326471006723,0.0013933554859124815,0.02633959738874341,0.008067056246009953,0.0016137473415396022
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.74,0.08,0.2,300,0.5,96,96,0.02135614995874888,0.007432134073873848,0.00148673645477704,0.027698400802189143,0.0085940861436715,0.001719175278364001
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.74,0.08,0.35,300,0.5,96,96,0.02199756249613019,0.0074956362606698095,0.0014994395377851224,0.03133654177933385,0.010551985262184585,0.0021108366727005
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.74,0.08,0.5,300,0.5,96,96,0.022492660914486932,0.007502940003418081,0.0015009005906256978,0.03535286460130522,0.011793963075916063,0.0023592839791329616
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.8,0.08,0.1,300,0.5,96,96,0.00966757925668564,0.0037442142360064237,0.0007489988398802399,0.011821317220732689,0.005510399197519635,0.0011023094155588084
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.8,0.08,0.2,300,0.5,96,96,0.010205375110656435,0.0041386741024967,0.0008279072472943568,0.013410794279386533,0.006432760147082372,0.0012868200331751188
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.8,0.08,0.35,300,0.5,96,96,0.010436564246644145,0.003939420948928696,0.0007880483152306579,0.014750577846701996,0.006787349348625362,0.001357752646495086
manuscript_contrast,fda4da941cf0,expertise_threshold,6,0.8,0.08,0.5,300,0.5,96,96,0.011322016168733023,0.004337762983538719,0.000867733318008883,0.01760632634586821,0.008185137006437753,0.00163736841314445
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.62,0.08,0.1,300,0.5,96,96,0.07795200884253749,0.022096510200385194,0.004420222632117038,0.07373591020600606,0.01634772438207113,0.0032702259606579255
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.62,0.08,0.2,300,0.5,96,96,0.07758675491560933,0.02176441398842594,0.004353789553824112,0.07694780092685326,0.017888968876494292,0.0035785390713751236
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.62,0.08,0.35,300,0.5,96,96,0.07516746997139954,0.023015906864186142,0.004604140269081947,0.08274321953751318,0.02127346084294041,0.004255578470476373
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.62,0.08,0.5,300,0.5,96,96,0.07279992767872097,0.01901791058969125,0.0038043744483536646,0.08896850619863865,0.02360160372648901,0.004721304043036893
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.68,0.08,0.1,300,0.5,96,96,0.04077408747348007,0.011468428059182901,0.0022941634132399168,0.04554629560908153,0.011537849459908753,0.0023080505856422056
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.68,0.08,0.2,300,0.5,96,96,0.0406855144912767,0.011570481581200392,0.0023145783694306504,0.04774431362518313,0.01174431414803733,0.002349352125067332
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.68,0.08,0.35,300,0.5,96,96,0.04046892823546097,0.01239442506593423,0.00247940139378055,0.05267829838178084,0.014798935834708846,0.002960403725050101
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.68,0.08,0.5,300,0.5,96,96,0.040556313003326336,0.011776226756223774,0.002355735976258148,0.05804405566145419,0.01919501587198566,0.003839802883430783
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.74,0.08,0.1,300,0.5,96,96,0.020937864564640075,0.00645116703347281,0.0012905021773269318,0.026023373684281637,0.008300491000178498,0.0016604440178084408
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.74,0.08,0.2,300,0.5,96,96,0.020521405880407923,0.006143751215125227,0.001229006205998976,0.027426008864468193,0.009195080806853632,0.001839399249836786
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.74,0.08,0.35,300,0.5,96,96,0.021313374940133384,0.007054383235126429,0.001411170549048477,0.030701745753502912,0.011051534900606211,0.00221076741278536
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.74,0.08,0.5,300,0.5,96,96,0.022698109276051714,0.007105522325603497,0.0014214004977174156,0.034563646640123624,0.012729147560684302,0.002546359838048693
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.8,0.08,0.1,300,0.5,96,96,0.009438282145035398,0.0035937551939513057,0.0007189007629953621,0.011718491218620397,0.005419054568094315,0.0010840366840438969
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.8,0.08,0.2,300,0.5,96,96,0.009814758087986214,0.0035405150784730377,0.0007082505217925923,0.012957691445206011,0.0058612666534955185,0.0011724975247087725
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.8,0.08,0.35,300,0.5,96,96,0.010324923408414422,0.0037492610321788497,0.0007500084093759991,0.01452656710765964,0.006897617441615863,0.0013798108591185664
manuscript_contrast,fda4da941cf0,expertise_threshold,9,0.8,0.08,0.5,300,0.5,96,96,0.010827801686878512,0.0035210177182980096,0.0007043502374521858,0.01729036243721937,0.007945121290628162,0.0015893552703692242
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.62,0.08,0.1,300,0.5,96,96,0.07964375484277315,0.0223727468260905,0.0044754814659188095,0.07482075447034192,0.01774117771531996,0.003548974681816529
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.62,0.08,0.2,300,0.5,96,96,0.07903865899273566,0.022693078773159996,0.00453956120110713,0.07800076724595408,0.019407261959836216,0.003882260943666873
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.62,0.08,0.35,300,0.5,96,96,0.07631581821223626,0.023314795227987833,0.004663930394227122,0.08288490713368096,0.021819302189418768,0.004364769480792872
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.62,0.08,0.5,300,0.5,96,96,0.07332676474052115,0.020026827454318944,0.004006199855103829,0.08905654590425509,0.02484483522487523,0.004970002138631722
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.68,0.08,0.1,300,0.5,96,96,0.041537780080267955,0.012304794269780768,0.0024614715003222925,0.0464184334755926,0.012952728777532712,0.002591085396332208
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.68,0.08,0.2,300,0.5,96,96,0.04116759017454363,0.012791394614266689,0.0025588118421222897,0.04844400578722511,0.013228366270927747,0.002646224378710679
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.68,0.08,0.35,300,0.5,96,96,0.040959964512391554,0.013036925472903397,0.0026079282432366247,0.0529918856270381,0.015763782922157226,0.003153413340314922
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.68,0.08,0.5,300,0.5,96,96,0.04006451091392538,0.01255750127284226,0.0025120234292964616,0.05809260743087652,0.019387665868538153,0.003878340908988491
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.74,0.08,0.1,300,0.5,96,96,0.020991745478632414,0.0066030162569837465,0.0013208783484211682,0.026284317314362454,0.008697142953779729,0.0017397909339721992
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.74,0.08,0.2,300,0.5,96,96,0.02012457054889961,0.006465480154151233,0.0012933653977805345,0.027712258265817274,0.009601418105773555,0.0019206836385783097
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.74,0.08,0.35,300,0.5,96,96,0.021102842952533712,0.00734003447770096,0.001468312698458943,0.030644324426515962,0.011224632264794879,0.0022453940972621336
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.74,0.08,0.5,300,0.5,96,96,0.022055329287291644,0.007535004582887632,0.001507314842404612,0.034321548902569075,0.01380638163322567,0.0027618515326354675
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.8,0.08,0.1,300,0.5,96,96,0.009572898169217916,0.003844633045362384,0.0007690867854327337,0.01192873318297732,0.005671323253274909,0.0011345009311805436
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.8,0.08,0.2,300,0.5,96,96,0.010051772013974223,0.003644710366107719,0.0007290939203377044,0.01301836557305057,0.006088498801485198,0.0012179534213268295
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.8,0.08,0.35,300,0.5,96,96,0.010553485004664348,0.0038669988294235944,0.0007735608740555916,0.015036201685622114,0.007225686612739503,0.0014454383614684763
manuscript_contrast,fda4da941cf0,expertise_threshold,12,0.8,0.08,0.5,300,0.5,96,96,0.010793835595424106,0.004124650434083999,0.0008251019293531534,0.017651792292502078,0.009177781034759854,0.0018359385746692634
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.62,0.08,0.1,300,0.5,96,23,0.27739749820769793,0.12860941954448152,0.052561158806734606,0.16931790131690305,0.048640361921686796,0.019878744468624164
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.62,0.08,0.2,300,0.5,96,17,0.26472865072525736,0.16328751766846086,0.07762195871036878,0.18482063783530378,0.054366306733896794,0.025844101721860406
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.62,0.08,0.35,300,0.5,96,25,0.24210504528725085,0.11046651478079861,0.043302873794073056,0.17398848035997425,0.05293713281695664,0.020751356064247002
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.62,0.08,0.5,300,0.5,96,21,0.21817289312004165,0.14177568069790125,0.06063846026018874,0.19078042204392395,0.06892341959276668,0.02947903349431187
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.68,0.08,0.1,300,0.5,96,47,0.18767048113256712,0.10525539141381314,0.0300920304764195,0.13582016256835552,0.0416308293873445,0.011902061926285196
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.68,0.08,0.2,300,0.5,96,42,0.15239114128146197,0.08961210903078744,0.027101799296412713,0.1361825283324307,0.05135332795854519,0.015531021449982734
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.68,0.08,0.35,300,0.5,96,47,0.160539825151747,0.07363926892885707,0.021053127018989058,0.1397281226032813,0.055193036706321266,0.015779434386624647
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.68,0.08,0.5,300,0.5,96,48,0.15773972838584235,0.10120331171326531,0.028630582037662312,0.1446521914707012,0.0526212335035303,0.014886632830893153
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.74,0.08,0.1,300,0.5,96,71,0.11657347346147007,0.07621247978768084,0.01772772433494792,0.10968717898668044,0.04194624885075491,0.00975708359815774
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.74,0.08,0.2,300,0.5,96,66,0.11326862631595883,0.07107633588285549,0.017147828628050317,0.10936232785696949,0.04281209056035846,0.010328815955672808
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.74,0.08,0.35,300,0.5,96,67,0.11465803754872744,0.08329740271699751,0.01994573891626759,0.1111171844703801,0.048099699737933516,0.011517574637749377
manuscript_contrast,fda4da941cf0,ideological_selection,3,0.74,0.08,0.5,300,0.5,96,64,0.1130114697598544,0.07512548195702454,0.018405743079471012,0.11307376347187648,0.045647467328374616,0.01118362949545178
