concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.0,0.9,0.1,0.75,6,300,23,1,0.07093514053222787,0.07695690268738384,0.011973517639089189
0.0,0.9,0.3,0.65,6,300,0,1,0.2081889331837565,0.18990620490620494,0.014785820578231293
0.0,0.9,0.3,0.65,6,300,1,3,0.1439324172350486,0.09492367732193598,0.012788653383017842
0.0,0.9,0.3,0.65,6,300,2,1,0.23273084286297627,0.18453888086062478,0.06201132528266695
0.0,0.9,0.3,0.65,6,300,3,6,0.1830947499104417,0.15535711294898427,0.05350263076709752
0.0,0.9,0.3,0.65,6,300,4,2,0.25922633189098415,0.13530647601886578,0.016306660784495868
0.0,0.9,0.3,0.65,6,300,5,6,0.21064816558647304,0.17316762595343513,0.014997033135045431
0.0,0.9,0.3,0.65,6,300,6,4,0.35199065426248693,0.13320293813872577,0.010168189287039098
0.0,0.9,0.3,0.65,6,300,7,6,0.20107582695246418,0.14852826594443289,0.045585870405073274
0.0,0.9,0.3,0.65,6,300,8,0,nan,nan,nan
0.0,0.9,0.3,0.65,6,300,9,2,0.28549549884235886,0.25259555583507354,0.0748477981146959
0.0,0.9,0.3,0.65,6,300,10,6,0.2508261496249602,0.1896680156321243,0.02633073538224608
0.0,0.9,0.3,0.65,6,300,11,6,0.16361078374991997,0.1075774712793414,0.008434658140602269
0.0,0.9,0.3,0.65,6,300,12,6,0.19715303776137516,0.17336174391603862,0.009163367024946398
0.0,0.9,0.3,0.65,6,300,13,1,0.2548486731936721,0.23625579672402255,0.055608115095908045
0.0,0.9,0.3,0.65,6,300,14,4,0.16499829891617485,0.11119479091262924,0.018364524546976308
0.0,0.9,0.3,0.65,6,300,15,6,0.1745098488240071,0.16953905406764067,0.046953081422367184
0.0,0.9,0.3,0.65,6,300,16,1,0.41092916288228415,0.1356145916058912,0.007427223760912385
0.0,0.9,0.3,0.65,6,300,17,1,0.19909101709753207,0.2406352301509923,0.023577777777777777
0.0,0.9,0.3,0.65,6,300,18,6,0.1338647449729596,0.15907620903669903,0.013488152744295906
0.0,0.9,0.3,0.65,6,300,19,3,0.29676169835123944,0.17263608750328718,0.010919774575676307
0.0,0.9,0.3,0.65,6,300,20,1,0.24521530047675488,0.23523256473430043,0.06027685073333197
0.0,0.9,0.3,0.65,6,300,21,3,0.18483768865064484,0.15254976040420884,0.02084164060174984
0.0,0.9,0.3,0.65,6,300,22,1,0.2608440491633811,0.2501376733855805,0.057027555649532886
0.0,0.9,0.3,0.65,6,300,23,1,0.20762521881307383,0.13069468905326592,0.013668550431154633
0.0,0.9,0.3,0.75,6,300,0,3,0.2333751195000244,0.21847820208435006,0.06174439306972788
0.0,0.9,0.3,0.75,6,300,1,6,0.0738354705717832,0.06990507854370319,0.009668321187646926
0.0,0.9,0.3,0.75,6,300,2,2,0.16085971546410033,0.1124120172466218,0.012251754591056851
0.0,0.9,0.3,0.75,6,300,3,6,0.08197763323641875,0.08859549298292572,0.010080867615174061
0.0,0.9,0.3,0.75,6,300,4,6,0.14131025782754555,0.11242084924486728,0.012039334801834048
0.0,0.9,0.3,0.75,6,300,5,6,0.13466266772980726,0.11129171578388063,0.01487335969329862
