rho,strategy,panel_size,n_experts,n_items,n,eie_mean,eie_std,eie_ci95,corr_mean
0.0,ideological_selection,3,24,120,5,0.2897255301548022,0.11052970992572238,0.0968835624114814,0.015706496839018324
0.0,representative_sortition,3,24,120,5,0.44473483545119796,0.42113350856954573,0.36913979588368184,0.02255105186759696
0.3,ideological_selection,3,24,120,6,0.15412681437375975,0.1559704893007675,0.12480238381490714,0.015823117988334422
0.3,representative_sortition,3,24,120,6,0.14721387743367464,0.12805027013067213,0.10246155559359423,0.01846797423137995
0.6,ideological_selection,3,24,120,6,0.19774519133784452,0.12818319978943457,0.10256792147323997,0.047690539992383534
0.6,representative_sortition,3,24,120,6,0.08904155000395024,0.024330414698549217,0.019468386405640744,0.04505939916406837
0.9,ideological_selection,3,24,120,6,0.23813491534436637,0.042512248638252405,0.03401688354746882,0.12347779855618939
0.9,representative_sortition,3,24,120,6,0.21804109506108146,0.029110729006611144,0.023293434488167345,0.12295722701659688
